"","No","Karakter","Angka"
"6591",6591,"C",11
"6592",6592,"D",32
"6593",6593,"A",5
"6594",6594,"B",4
"6595",6595,"C",5
"6596",6596,"D",23
"6597",6597,"A",12
"6598",6598,"B",7
"6599",6599,"C",8
"6600",6600,"D",14
"6601",6601,"A",12
"6602",6602,"B",11
"6603",6603,"C",4
"6604",6604,"D",5
"6605",6605,"A",7
"6606",6606,"B",17
"6607",6607,"C",4
"6608",6608,"D",16
"6609",6609,"A",3
"6610",6610,"B",24
"6611",6611,"C",14
"6612",6612,"D",13
"6613",6613,"A",21
"6614",6614,"B",9
"6615",6615,"C",0
"6616",6616,"D",26
"6617",6617,"A",4
"6618",6618,"B",14
"6619",6619,"C",-15
"6620",6620,"D",12
"6621",6621,"A",-10
"6622",6622,"B",-4
"6623",6623,"C",11
"6624",6624,"D",4
"6625",6625,"A",13
"6626",6626,"B",7
"6627",6627,"C",-3
"6628",6628,"D",-4
"6629",6629,"A",-2
"6630",6630,"B",13
"6631",6631,"C",22
"6632",6632,"D",3
"6633",6633,"A",15
"6634",6634,"B",-6
"6635",6635,"C",15
"6636",6636,"D",1
"6637",6637,"A",-3
"6638",6638,"B",5
"6639",6639,"C",3
"6640",6640,"D",11
"6641",6641,"A",17
"6642",6642,"B",15
"6643",6643,"C",14
"6644",6644,"D",0
"6645",6645,"A",6
"6646",6646,"B",14
"6647",6647,"C",16
"6648",6648,"D",2
"6649",6649,"A",14
"6650",6650,"B",4
"6651",6651,"C",7
"6652",6652,"D",21
"6653",6653,"A",5
"6654",6654,"B",27
"6655",6655,"C",11
"6656",6656,"D",29
"6657",6657,"A",14
"6658",6658,"B",15
"6659",6659,"C",8
"6660",6660,"D",-1
"6661",6661,"A",-4
"6662",6662,"B",11
"6663",6663,"C",14
"6664",6664,"D",8
"6665",6665,"A",12
"6666",6666,"B",22
"6667",6667,"C",20
"6668",6668,"D",9
"6669",6669,"A",4
"6670",6670,"B",-6
"6671",6671,"C",22
"6672",6672,"D",5
"6673",6673,"A",-1
"6674",6674,"B",18
"6675",6675,"C",19
"6676",6676,"D",10
"6677",6677,"A",24
"6678",6678,"B",3
"6679",6679,"C",14
"6680",6680,"D",-6
"6681",6681,"A",22
"6682",6682,"B",13
"6683",6683,"C",2
"6684",6684,"D",31
"6685",6685,"A",18
"6686",6686,"B",7
"6687",6687,"C",4
"6688",6688,"D",23
"6689",6689,"A",18
"6690",6690,"B",0
"6691",6691,"C",-11
"6692",6692,"D",5
"6693",6693,"A",5
"6694",6694,"B",7
"6695",6695,"C",13
"6696",6696,"D",8
"6697",6697,"A",6
"6698",6698,"B",18
"6699",6699,"C",5
"6700",6700,"D",12
"6701",6701,"A",-1
"6702",6702,"B",2
"6703",6703,"C",0
"6704",6704,"D",12
"6705",6705,"A",6
"6706",6706,"B",20
"6707",6707,"C",8
"6708",6708,"D",-5
"6709",6709,"A",-16
"6710",6710,"B",2
"6711",6711,"C",8
"6712",6712,"D",3
"6713",6713,"A",-17
"6714",6714,"B",19
"6715",6715,"C",-5
"6716",6716,"D",10
"6717",6717,"A",-2
"6718",6718,"B",9
"6719",6719,"C",14
"6720",6720,"D",7
"6721",6721,"A",10
"6722",6722,"B",10
"6723",6723,"C",9
"6724",6724,"D",13
"6725",6725,"A",5
"6726",6726,"B",3
"6727",6727,"C",-14
"6728",6728,"D",22
"6729",6729,"A",25
"6730",6730,"B",2
"6731",6731,"C",-11
"6732",6732,"D",15
"6733",6733,"A",19
"6734",6734,"B",4
"6735",6735,"C",13
"6736",6736,"D",13
"6737",6737,"A",23
"6738",6738,"B",3
"6739",6739,"C",14
"6740",6740,"D",5
"6741",6741,"A",23
"6742",6742,"B",3
"6743",6743,"C",5
"6744",6744,"D",8
"6745",6745,"A",23
"6746",6746,"B",13
"6747",6747,"C",22
"6748",6748,"D",-11
"6749",6749,"A",16
"6750",6750,"B",14
"6751",6751,"C",10
"6752",6752,"D",4
"6753",6753,"A",9
"6754",6754,"B",6
"6755",6755,"C",8
"6756",6756,"D",2
"6757",6757,"A",16
"6758",6758,"B",6
"6759",6759,"C",18
"6760",6760,"D",25
"6761",6761,"A",9
"6762",6762,"B",35
"6763",6763,"C",-11
"6764",6764,"D",11
"6765",6765,"A",18
"6766",6766,"B",-16
"6767",6767,"C",15
"6768",6768,"D",-1
"6769",6769,"A",20
"6770",6770,"B",11
"6771",6771,"C",7
"6772",6772,"D",2
"6773",6773,"A",14
"6774",6774,"B",7
"6775",6775,"C",-3
"6776",6776,"D",19
"6777",6777,"A",20
"6778",6778,"B",21
"6779",6779,"C",-1
"6780",6780,"D",15
"6781",6781,"A",21
"6782",6782,"B",12
"6783",6783,"C",8
"6784",6784,"D",7
"6785",6785,"A",8
"6786",6786,"B",-4
"6787",6787,"C",11
"6788",6788,"D",14
"6789",6789,"A",0
"6790",6790,"B",16
"6791",6791,"C",15
"6792",6792,"D",2
"6793",6793,"A",5
"6794",6794,"B",10
"6795",6795,"C",11
"6796",6796,"D",0
"6797",6797,"A",2
"6798",6798,"B",10
"6799",6799,"C",14
"6800",6800,"D",15
"6801",6801,"A",16
"6802",6802,"B",7
"6803",6803,"C",5
"6804",6804,"D",0
"6805",6805,"A",9
"6806",6806,"B",13
"6807",6807,"C",19
"6808",6808,"D",4
"6809",6809,"A",12
"6810",6810,"B",20
"6811",6811,"C",13
"6812",6812,"D",14
"6813",6813,"A",10
"6814",6814,"B",15
"6815",6815,"C",10
"6816",6816,"D",0
"6817",6817,"A",3
"6818",6818,"B",9
"6819",6819,"C",-2
"6820",6820,"D",29
"6821",6821,"A",3
"6822",6822,"B",7
"6823",6823,"C",10
"6824",6824,"D",21
"6825",6825,"A",16
"6826",6826,"B",14
"6827",6827,"C",11
"6828",6828,"D",17
"6829",6829,"A",4
"6830",6830,"B",13
"6831",6831,"C",19
"6832",6832,"D",16
"6833",6833,"A",14
"6834",6834,"B",17
"6835",6835,"C",13
"6836",6836,"D",22
"6837",6837,"A",16
"6838",6838,"B",32
"6839",6839,"C",25
"6840",6840,"D",-1
"6841",6841,"A",3
"6842",6842,"B",4
"6843",6843,"C",1
"6844",6844,"D",18
"6845",6845,"A",3
"6846",6846,"B",2
"6847",6847,"C",16
"6848",6848,"D",7
"6849",6849,"A",7
"6850",6850,"B",4
"6851",6851,"C",4
"6852",6852,"D",1
"6853",6853,"A",0
"6854",6854,"B",3
"6855",6855,"C",28
"6856",6856,"D",17
"6857",6857,"A",7
"6858",6858,"B",-6
"6859",6859,"C",-13
"6860",6860,"D",31
"6861",6861,"A",6
"6862",6862,"B",-1
"6863",6863,"C",4
"6864",6864,"D",16
"6865",6865,"A",14
"6866",6866,"B",14
"6867",6867,"C",13
"6868",6868,"D",5
"6869",6869,"A",4
"6870",6870,"B",0
"6871",6871,"C",12
"6872",6872,"D",28
"6873",6873,"A",20
"6874",6874,"B",-9
"6875",6875,"C",5
"6876",6876,"D",25
"6877",6877,"A",23
"6878",6878,"B",8
"6879",6879,"C",17
"6880",6880,"D",26
"6881",6881,"A",4
"6882",6882,"B",-12
"6883",6883,"C",24
"6884",6884,"D",17
"6885",6885,"A",-5
"6886",6886,"B",13
"6887",6887,"C",-8
"6888",6888,"D",24
"6889",6889,"A",11
"6890",6890,"B",10
"6891",6891,"C",16
"6892",6892,"D",5
"6893",6893,"A",18
"6894",6894,"B",12
"6895",6895,"C",15
"6896",6896,"D",21
"6897",6897,"A",15
"6898",6898,"B",20
"6899",6899,"C",19
"6900",6900,"D",-8
"6901",6901,"A",20
"6902",6902,"B",23
"6903",6903,"C",26
"6904",6904,"D",10
"6905",6905,"A",4
"6906",6906,"B",15
"6907",6907,"C",8
"6908",6908,"D",-2
"6909",6909,"A",8
"6910",6910,"B",22
"6911",6911,"C",9
"6912",6912,"D",4
"6913",6913,"A",7
"6914",6914,"B",17
"6915",6915,"C",24
"6916",6916,"D",17
"6917",6917,"A",38
"6918",6918,"B",1
"6919",6919,"C",21
"6920",6920,"D",19
"6921",6921,"A",19
"6922",6922,"B",15
"6923",6923,"C",13
"6924",6924,"D",0
"6925",6925,"A",4
"6926",6926,"B",8
"6927",6927,"C",6
"6928",6928,"D",4
"6929",6929,"A",8
"6930",6930,"B",15
"6931",6931,"C",15
"6932",6932,"D",22
"6933",6933,"A",4
"6934",6934,"B",-8
"6935",6935,"C",4
"6936",6936,"D",9
"6937",6937,"A",10
"6938",6938,"B",14
"6939",6939,"C",-3
"6940",6940,"D",1
"6941",6941,"A",2
"6942",6942,"B",2
"6943",6943,"C",19
"6944",6944,"D",-3
"6945",6945,"A",3
"6946",6946,"B",-1
"6947",6947,"C",3
"6948",6948,"D",14
"6949",6949,"A",8
"6950",6950,"B",20
"6951",6951,"C",2
"6952",6952,"D",-3
"6953",6953,"A",19
"6954",6954,"B",12
"6955",6955,"C",20
"6956",6956,"D",-2
"6957",6957,"A",2
"6958",6958,"B",18
"6959",6959,"C",4
"6960",6960,"D",24
"6961",6961,"A",26
"6962",6962,"B",15
"6963",6963,"C",18
"6964",6964,"D",11
"6965",6965,"A",27
"6966",6966,"B",21
"6967",6967,"C",3
"6968",6968,"D",11
"6969",6969,"A",12
"6970",6970,"B",5
"6971",6971,"C",-3
"6972",6972,"D",22
"6973",6973,"A",9
"6974",6974,"B",19
"6975",6975,"C",1
"6976",6976,"D",25
"6977",6977,"A",5
"6978",6978,"B",11
"6979",6979,"C",15
"6980",6980,"D",18
"6981",6981,"A",-2
"6982",6982,"B",12
"6983",6983,"C",-13
"6984",6984,"D",9
"6985",6985,"A",13
"6986",6986,"B",2
"6987",6987,"C",6
"6988",6988,"D",6
"6989",6989,"A",22
"6990",6990,"B",6
"6991",6991,"C",0
"6992",6992,"D",5
"6993",6993,"A",5
"6994",6994,"B",10
"6995",6995,"C",15
"6996",6996,"D",13
"6997",6997,"A",19
"6998",6998,"B",16
"6999",6999,"C",12
"7000",7000,"D",19
"7001",7001,"A",-10
"7002",7002,"B",6
"7003",7003,"C",7
"7004",7004,"D",11
"7005",7005,"A",6
"7006",7006,"B",11
"7007",7007,"C",0
"7008",7008,"D",18
"7009",7009,"A",-3
"7010",7010,"B",12
"7011",7011,"C",7
"7012",7012,"D",13
"7013",7013,"A",5
"7014",7014,"B",16
"7015",7015,"C",1
"7016",7016,"D",17
"7017",7017,"A",-6
"7018",7018,"B",5
"7019",7019,"C",33
"7020",7020,"D",-1
"7021",7021,"A",22
"7022",7022,"B",22
"7023",7023,"C",26
"7024",7024,"D",19
"7025",7025,"A",8
"7026",7026,"B",10
"7027",7027,"C",0
"7028",7028,"D",19
"7029",7029,"A",9
"7030",7030,"B",-10
"7031",7031,"C",15
"7032",7032,"D",7
"7033",7033,"A",22
"7034",7034,"B",6
"7035",7035,"C",22
"7036",7036,"D",5
"7037",7037,"A",1
"7038",7038,"B",14
"7039",7039,"C",16
"7040",7040,"D",12
"7041",7041,"A",12
"7042",7042,"B",5
"7043",7043,"C",3
"7044",7044,"D",7
"7045",7045,"A",10
"7046",7046,"B",-3
"7047",7047,"C",18
"7048",7048,"D",20
"7049",7049,"A",28
"7050",7050,"B",12
"7051",7051,"C",25
"7052",7052,"D",-1
"7053",7053,"A",22
"7054",7054,"B",10
"7055",7055,"C",-3
"7056",7056,"D",9
"7057",7057,"A",1
"7058",7058,"B",-11
"7059",7059,"C",13
"7060",7060,"D",31
"7061",7061,"A",2
"7062",7062,"B",5
"7063",7063,"C",-11
"7064",7064,"D",9
"7065",7065,"A",25
"7066",7066,"B",5
"7067",7067,"C",-3
"7068",7068,"D",16
"7069",7069,"A",-9
"7070",7070,"B",3
"7071",7071,"C",14
"7072",7072,"D",15
"7073",7073,"A",5
"7074",7074,"B",14
"7075",7075,"C",17
"7076",7076,"D",23
"7077",7077,"A",9
"7078",7078,"B",20
"7079",7079,"C",2
"7080",7080,"D",18
"7081",7081,"A",3
"7082",7082,"B",0
"7083",7083,"C",3
"7084",7084,"D",11
"7085",7085,"A",10
"7086",7086,"B",35
"7087",7087,"C",15
"7088",7088,"D",26
"7089",7089,"A",0
"7090",7090,"B",11
"7091",7091,"C",9
"7092",7092,"D",33
"7093",7093,"A",-2
"7094",7094,"B",25
"7095",7095,"C",7
"7096",7096,"D",11
"7097",7097,"A",22
"7098",7098,"B",27
"7099",7099,"C",20
"7100",7100,"D",4
"7101",7101,"A",4
"7102",7102,"B",1
"7103",7103,"C",16
"7104",7104,"D",0
"7105",7105,"A",1
"7106",7106,"B",2
"7107",7107,"C",26
"7108",7108,"D",15
"7109",7109,"A",6
"7110",7110,"B",24
"7111",7111,"C",16
"7112",7112,"D",13
"7113",7113,"A",29
"7114",7114,"B",16
"7115",7115,"C",5
"7116",7116,"D",11
"7117",7117,"A",12
"7118",7118,"B",10
"7119",7119,"C",-4
"7120",7120,"D",3
"7121",7121,"A",23
"7122",7122,"B",25
"7123",7123,"C",2
"7124",7124,"D",5
"7125",7125,"A",19
"7126",7126,"B",23
"7127",7127,"C",10
"7128",7128,"D",10
"7129",7129,"A",8
"7130",7130,"B",8
"7131",7131,"C",8
"7132",7132,"D",10
"7133",7133,"A",3
"7134",7134,"B",22
"7135",7135,"C",7
"7136",7136,"D",1
"7137",7137,"A",-6
"7138",7138,"B",8
"7139",7139,"C",13
"7140",7140,"D",3
"7141",7141,"A",19
"7142",7142,"B",15
"7143",7143,"C",20
"7144",7144,"D",0
"7145",7145,"A",10
"7146",7146,"B",30
"7147",7147,"C",13
"7148",7148,"D",8
"7149",7149,"A",-2
"7150",7150,"B",18
"7151",7151,"C",-5
"7152",7152,"D",23
"7153",7153,"A",24
"7154",7154,"B",10
"7155",7155,"C",6
"7156",7156,"D",8
"7157",7157,"A",15
"7158",7158,"B",-4
"7159",7159,"C",9
"7160",7160,"D",-1
"7161",7161,"A",11
"7162",7162,"B",5
"7163",7163,"C",17
"7164",7164,"D",-2
"7165",7165,"A",-1
"7166",7166,"B",13
"7167",7167,"C",-8
"7168",7168,"D",29
"7169",7169,"A",9
"7170",7170,"B",10
"7171",7171,"C",-4
"7172",7172,"D",-4
"7173",7173,"A",10
"7174",7174,"B",-6
"7175",7175,"C",12
"7176",7176,"D",24
"7177",7177,"A",-11
"7178",7178,"B",13
"7179",7179,"C",3
"7180",7180,"D",5
"7181",7181,"A",31
"7182",7182,"B",13
"7183",7183,"C",7
"7184",7184,"D",22
"7185",7185,"A",25
"7186",7186,"B",-5
"7187",7187,"C",31
"7188",7188,"D",2
"7189",7189,"A",15
"7190",7190,"B",3
"7191",7191,"C",-4
"7192",7192,"D",6
"7193",7193,"A",-1
"7194",7194,"B",15
"7195",7195,"C",-1
"7196",7196,"D",15
"7197",7197,"A",14
"7198",7198,"B",5
"7199",7199,"C",5
"7200",7200,"D",1
"7201",7201,"A",26
"7202",7202,"B",21
"7203",7203,"C",4
"7204",7204,"D",11
"7205",7205,"A",5
"7206",7206,"B",-4
"7207",7207,"C",6
"7208",7208,"D",6
"7209",7209,"A",19
"7210",7210,"B",20
"7211",7211,"C",12
"7212",7212,"D",9
"7213",7213,"A",-19
"7214",7214,"B",13
"7215",7215,"C",25
"7216",7216,"D",-1
"7217",7217,"A",5
"7218",7218,"B",11
"7219",7219,"C",-11
"7220",7220,"D",15
"7221",7221,"A",-7
"7222",7222,"B",5
"7223",7223,"C",30
"7224",7224,"D",-9
"7225",7225,"A",13
"7226",7226,"B",1
"7227",7227,"C",-2
"7228",7228,"D",-6
"7229",7229,"A",11
"7230",7230,"B",23
"7231",7231,"C",0
"7232",7232,"D",7
"7233",7233,"A",17
"7234",7234,"B",19
"7235",7235,"C",3
"7236",7236,"D",-8
"7237",7237,"A",7
"7238",7238,"B",-18
"7239",7239,"C",10
"7240",7240,"D",6
"7241",7241,"A",15
"7242",7242,"B",9
"7243",7243,"C",22
"7244",7244,"D",-4
"7245",7245,"A",22
"7246",7246,"B",16
"7247",7247,"C",20
"7248",7248,"D",25
"7249",7249,"A",-2
"7250",7250,"B",6
"7251",7251,"C",-8
"7252",7252,"D",17
"7253",7253,"A",-2
"7254",7254,"B",14
"7255",7255,"C",23
"7256",7256,"D",-11
"7257",7257,"A",11
"7258",7258,"B",8
"7259",7259,"C",-8
"7260",7260,"D",20
"7261",7261,"A",7
"7262",7262,"B",2
"7263",7263,"C",14
"7264",7264,"D",22
"7265",7265,"A",24
"7266",7266,"B",0
"7267",7267,"C",15
"7268",7268,"D",1
"7269",7269,"A",4
"7270",7270,"B",-1
"7271",7271,"C",30
"7272",7272,"D",3
"7273",7273,"A",8
"7274",7274,"B",-1
"7275",7275,"C",15
"7276",7276,"D",6
"7277",7277,"A",5
"7278",7278,"B",9
"7279",7279,"C",13
"7280",7280,"D",6
"7281",7281,"A",13
"7282",7282,"B",23
"7283",7283,"C",13
"7284",7284,"D",9
"7285",7285,"A",13
"7286",7286,"B",12
"7287",7287,"C",14
"7288",7288,"D",3
"7289",7289,"A",18
"7290",7290,"B",3
"7291",7291,"C",-3
"7292",7292,"D",8
"7293",7293,"A",17
"7294",7294,"B",3
"7295",7295,"C",20
"7296",7296,"D",22
"7297",7297,"A",11
"7298",7298,"B",3
"7299",7299,"C",-1
"7300",7300,"D",8
"7301",7301,"A",7
"7302",7302,"B",15
"7303",7303,"C",11
"7304",7304,"D",5
"7305",7305,"A",10
"7306",7306,"B",-4
"7307",7307,"C",-6
"7308",7308,"D",8
"7309",7309,"A",27
"7310",7310,"B",21
"7311",7311,"C",12
"7312",7312,"D",7
"7313",7313,"A",16
"7314",7314,"B",10
"7315",7315,"C",3
"7316",7316,"D",7
"7317",7317,"A",27
"7318",7318,"B",-14
"7319",7319,"C",13
"7320",7320,"D",11
"7321",7321,"A",7
"7322",7322,"B",14
"7323",7323,"C",9
"7324",7324,"D",-12
"7325",7325,"A",-4
"7326",7326,"B",16
"7327",7327,"C",27
"7328",7328,"D",23
"7329",7329,"A",21
"7330",7330,"B",24
"7331",7331,"C",-9
"7332",7332,"D",5
"7333",7333,"A",11
"7334",7334,"B",6
"7335",7335,"C",12
"7336",7336,"D",1
"7337",7337,"A",1
"7338",7338,"B",8
"7339",7339,"C",-11
"7340",7340,"D",18
"7341",7341,"A",10
"7342",7342,"B",5
"7343",7343,"C",16
"7344",7344,"D",-4
"7345",7345,"A",7
"7346",7346,"B",-2
"7347",7347,"C",25
"7348",7348,"D",12
"7349",7349,"A",-4
"7350",7350,"B",17
"7351",7351,"C",16
"7352",7352,"D",30
"7353",7353,"A",-6
"7354",7354,"B",8
"7355",7355,"C",10
"7356",7356,"D",16
"7357",7357,"A",8
"7358",7358,"B",19
"7359",7359,"C",12
"7360",7360,"D",1
"7361",7361,"A",17
"7362",7362,"B",22
"7363",7363,"C",15
"7364",7364,"D",12
"7365",7365,"A",20
"7366",7366,"B",25
"7367",7367,"C",16
"7368",7368,"D",-10
"7369",7369,"A",23
"7370",7370,"B",4
"7371",7371,"C",-8
"7372",7372,"D",16
"7373",7373,"A",17
"7374",7374,"B",26
"7375",7375,"C",12
"7376",7376,"D",15
"7377",7377,"A",3
"7378",7378,"B",24
"7379",7379,"C",5
"7380",7380,"D",8
"7381",7381,"A",-3
"7382",7382,"B",27
"7383",7383,"C",20
"7384",7384,"D",-1
"7385",7385,"A",9
"7386",7386,"B",18
"7387",7387,"C",14
"7388",7388,"D",5
"7389",7389,"A",10
"7390",7390,"B",21
"7391",7391,"C",-3
"7392",7392,"D",-11
"7393",7393,"A",1
"7394",7394,"B",12
"7395",7395,"C",-5
"7396",7396,"D",18
"7397",7397,"A",11
"7398",7398,"B",3
"7399",7399,"C",10
"7400",7400,"D",18
"7401",7401,"A",-5
"7402",7402,"B",-5
"7403",7403,"C",13
"7404",7404,"D",6
"7405",7405,"A",21
"7406",7406,"B",4
"7407",7407,"C",3
"7408",7408,"D",14
"7409",7409,"A",4
"7410",7410,"B",17
"7411",7411,"C",6
"7412",7412,"D",10
"7413",7413,"A",13
"7414",7414,"B",24
"7415",7415,"C",7
"7416",7416,"D",3
"7417",7417,"A",2
"7418",7418,"B",15
"7419",7419,"C",-5
"7420",7420,"D",21
"7421",7421,"A",21
"7422",7422,"B",22
"7423",7423,"C",7
"7424",7424,"D",8
"7425",7425,"A",3
"7426",7426,"B",-2
"7427",7427,"C",19
"7428",7428,"D",14
"7429",7429,"A",-5
"7430",7430,"B",17
"7431",7431,"C",4
"7432",7432,"D",-4
"7433",7433,"A",16
"7434",7434,"B",8
"7435",7435,"C",26
"7436",7436,"D",11
"7437",7437,"A",15
"7438",7438,"B",10
"7439",7439,"C",-5
"7440",7440,"D",-5
"7441",7441,"A",8
"7442",7442,"B",23
"7443",7443,"C",4
"7444",7444,"D",12
"7445",7445,"A",32
"7446",7446,"B",-3
"7447",7447,"C",12
"7448",7448,"D",6
"7449",7449,"A",-3
"7450",7450,"B",18
"7451",7451,"C",10
"7452",7452,"D",16
"7453",7453,"A",19
"7454",7454,"B",9
"7455",7455,"C",0
"7456",7456,"D",22
"7457",7457,"A",4
"7458",7458,"B",2
"7459",7459,"C",6
"7460",7460,"D",9
"7461",7461,"A",-3
"7462",7462,"B",9
"7463",7463,"C",9
"7464",7464,"D",9
"7465",7465,"A",6
"7466",7466,"B",11
"7467",7467,"C",5
"7468",7468,"D",25
"7469",7469,"A",-11
"7470",7470,"B",25
"7471",7471,"C",18
"7472",7472,"D",-2
"7473",7473,"A",32
"7474",7474,"B",-1
"7475",7475,"C",12
"7476",7476,"D",-7
"7477",7477,"A",40
"7478",7478,"B",5
"7479",7479,"C",2
"7480",7480,"D",8
"7481",7481,"A",17
"7482",7482,"B",23
"7483",7483,"C",2
"7484",7484,"D",6
"7485",7485,"A",-8
"7486",7486,"B",-1
"7487",7487,"C",11
"7488",7488,"D",8
"7489",7489,"A",13
"7490",7490,"B",-11
"7491",7491,"C",12
"7492",7492,"D",0
"7493",7493,"A",39
"7494",7494,"B",12
"7495",7495,"C",12
"7496",7496,"D",9
"7497",7497,"A",11
"7498",7498,"B",-13
"7499",7499,"C",7
"7500",7500,"D",3
"7501",7501,"A",17
"7502",7502,"B",-3
"7503",7503,"C",17
"7504",7504,"D",22
"7505",7505,"A",19
"7506",7506,"B",1
"7507",7507,"C",25
"7508",7508,"D",8
"7509",7509,"A",-1
"7510",7510,"B",-3
"7511",7511,"C",16
"7512",7512,"D",5
"7513",7513,"A",-9
"7514",7514,"B",9
"7515",7515,"C",12
"7516",7516,"D",13
"7517",7517,"A",-7
"7518",7518,"B",4
"7519",7519,"C",16
"7520",7520,"D",-2
"7521",7521,"A",15
"7522",7522,"B",37
"7523",7523,"C",17
"7524",7524,"D",12
"7525",7525,"A",4
"7526",7526,"B",14
"7527",7527,"C",12
"7528",7528,"D",-2
"7529",7529,"A",-7
"7530",7530,"B",6
"7531",7531,"C",18
"7532",7532,"D",-12
"7533",7533,"A",11
"7534",7534,"B",4
"7535",7535,"C",20
"7536",7536,"D",7
"7537",7537,"A",-2
"7538",7538,"B",16
"7539",7539,"C",12
"7540",7540,"D",-1
"7541",7541,"A",17
"7542",7542,"B",14
"7543",7543,"C",-8
"7544",7544,"D",1
"7545",7545,"A",-5
"7546",7546,"B",2
"7547",7547,"C",0
"7548",7548,"D",16
"7549",7549,"A",13
"7550",7550,"B",12
"7551",7551,"C",-6
"7552",7552,"D",5
"7553",7553,"A",6
"7554",7554,"B",12
"7555",7555,"C",-3
"7556",7556,"D",20
"7557",7557,"A",13
"7558",7558,"B",6
"7559",7559,"C",15
"7560",7560,"D",4
"7561",7561,"A",31
"7562",7562,"B",12
"7563",7563,"C",4
"7564",7564,"D",-5
"7565",7565,"A",1
"7566",7566,"B",17
"7567",7567,"C",15
"7568",7568,"D",17
"7569",7569,"A",19
"7570",7570,"B",-5
"7571",7571,"C",-6
"7572",7572,"D",13
"7573",7573,"A",10
"7574",7574,"B",1
"7575",7575,"C",7
"7576",7576,"D",10
"7577",7577,"A",3
"7578",7578,"B",-16
"7579",7579,"C",1
"7580",7580,"D",6
"7581",7581,"A",-7
"7582",7582,"B",10
"7583",7583,"C",17
"7584",7584,"D",9
"7585",7585,"A",15
"7586",7586,"B",2
"7587",7587,"C",3
"7588",7588,"D",-4
"7589",7589,"A",21
"7590",7590,"B",20
"7591",7591,"C",11
"7592",7592,"D",-10
"7593",7593,"A",-12
"7594",7594,"B",7
"7595",7595,"C",-5
"7596",7596,"D",3
"7597",7597,"A",15
"7598",7598,"B",16
"7599",7599,"C",-3
"7600",7600,"D",3
"7601",7601,"A",5
"7602",7602,"B",15
"7603",7603,"C",-2
"7604",7604,"D",-5
"7605",7605,"A",19
"7606",7606,"B",6
"7607",7607,"C",3
"7608",7608,"D",11
"7609",7609,"A",3
"7610",7610,"B",-1
"7611",7611,"C",8
"7612",7612,"D",9
"7613",7613,"A",18
"7614",7614,"B",12
"7615",7615,"C",2
"7616",7616,"D",29
"7617",7617,"A",30
"7618",7618,"B",-2
"7619",7619,"C",7
"7620",7620,"D",17
"7621",7621,"A",28
"7622",7622,"B",3
"7623",7623,"C",20
"7624",7624,"D",14
"7625",7625,"A",2
"7626",7626,"B",8
"7627",7627,"C",16
"7628",7628,"D",9
"7629",7629,"A",16
"7630",7630,"B",11
"7631",7631,"C",3
"7632",7632,"D",11
"7633",7633,"A",7
"7634",7634,"B",16
"7635",7635,"C",-6
"7636",7636,"D",4
"7637",7637,"A",22
"7638",7638,"B",16
"7639",7639,"C",12
"7640",7640,"D",7
"7641",7641,"A",14
"7642",7642,"B",22
"7643",7643,"C",22
"7644",7644,"D",3
"7645",7645,"A",23
"7646",7646,"B",18
"7647",7647,"C",7
"7648",7648,"D",16
"7649",7649,"A",12
"7650",7650,"B",8
"7651",7651,"C",7
"7652",7652,"D",26
"7653",7653,"A",18
"7654",7654,"B",4
"7655",7655,"C",-8
"7656",7656,"D",22
"7657",7657,"A",7
"7658",7658,"B",11
"7659",7659,"C",27
"7660",7660,"D",19
"7661",7661,"A",7
"7662",7662,"B",-5
"7663",7663,"C",11
"7664",7664,"D",4
"7665",7665,"A",24
"7666",7666,"B",2
"7667",7667,"C",17
"7668",7668,"D",18
"7669",7669,"A",29
"7670",7670,"B",-3
"7671",7671,"C",0
"7672",7672,"D",-6
"7673",7673,"A",16
"7674",7674,"B",-2
"7675",7675,"C",14
"7676",7676,"D",18
"7677",7677,"A",25
"7678",7678,"B",7
"7679",7679,"C",35
"7680",7680,"D",13
"7681",7681,"A",2
"7682",7682,"B",19
"7683",7683,"C",-3
"7684",7684,"D",14
"7685",7685,"A",17
"7686",7686,"B",13
"7687",7687,"C",15
"7688",7688,"D",10
"7689",7689,"A",17
"7690",7690,"B",6
"7691",7691,"C",23
"7692",7692,"D",3
"7693",7693,"A",13
"7694",7694,"B",16
"7695",7695,"C",1
"7696",7696,"D",0
"7697",7697,"A",13
"7698",7698,"B",18
"7699",7699,"C",-11
"7700",7700,"D",13
"7701",7701,"A",0
"7702",7702,"B",0
"7703",7703,"C",8
"7704",7704,"D",7
"7705",7705,"A",7
"7706",7706,"B",16
"7707",7707,"C",10
"7708",7708,"D",17
"7709",7709,"A",9
"7710",7710,"B",5
"7711",7711,"C",16
"7712",7712,"D",-9
"7713",7713,"A",7
"7714",7714,"B",7
"7715",7715,"C",8
"7716",7716,"D",11
"7717",7717,"A",23
"7718",7718,"B",4
"7719",7719,"C",6
"7720",7720,"D",9
"7721",7721,"A",4
"7722",7722,"B",9
"7723",7723,"C",8
"7724",7724,"D",12
"7725",7725,"A",-9
"7726",7726,"B",7
"7727",7727,"C",15
"7728",7728,"D",17
"7729",7729,"A",14
"7730",7730,"B",10
"7731",7731,"C",26
"7732",7732,"D",14
"7733",7733,"A",19
"7734",7734,"B",0
"7735",7735,"C",8
"7736",7736,"D",8
"7737",7737,"A",12
"7738",7738,"B",-1
"7739",7739,"C",15
"7740",7740,"D",38
